lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date
52.203,4.89,15.5,15.5,15.5,1.92,1.92,1.92,3.65,3.65,3.65,5.75,5.75,5.75,75.0,75.0,75.0,2022-11-01
52.201,4.891,15.5,15.5,15.5,1.35,1.35,1.35,2.56,2.56,2.56,4.03,4.03,4.03,75.0,75.0,75.0,2022-11-01
52.201,4.892,15.6,15.6,15.6,1.4,1.35,1.45,2.66,2.57,2.75,4.195,4.06,4.33,75.0,75.0,75.0,2022-11-01
52.201,4.893,15.6,15.6,15.6,1.2,1.2,1.2,2.29,2.29,2.29,3.62,3.62,3.62,75.0,75.0,75.0,2022-11-01
52.201,4.894,15.6,15.6,15.6,1.18,1.18,1.18,2.25,2.25,2.25,3.55,3.55,3.55,75.0,75.0,75.0,2022-11-01
52.201,4.895,15.6,15.6,15.6,1.36,1.36,1.36,2.6,2.6,2.6,4.12,4.12,4.12,75.0,75.0,75.0,2022-11-01
52.201,4.896,15.6,15.6,15.6,1.32,1.32,1.32,2.55,2.55,2.55,4.05,4.05,4.05,75.0,75.0,75.0,2022-11-01
52.201,4.897,15.7,15.7,15.7,1.33,1.33,1.33,2.58,2.58,2.58,4.1,4.1,4.1,75.0,75.0,75.0,2022-11-01
52.201,4.898,15.7,15.7,15.7,1.32,1.32,1.32,2.56,2.56,2.56,4.08,4.08,4.08,75.0,75.0,75.0,2022-11-01
52.201,4.899,15.7,15.7,15.7,1.42,1.42,1.42,2.76,2.76,2.76,4.41,4.41,4.41,75.0,75.0,75.0,2022-11-01
52.201,4.9,15.7,15.7,15.7,1.61,1.61,1.61,3.14,3.14,3.14,5.01,5.01,5.01,75.0,75.0,75.0,2022-11-01
52.201,4.901,15.7,15.7,15.7,1.64,1.64,1.64,3.21,3.21,3.21,5.14,5.14,5.14,75.0,75.0,75.0,2022-11-01
52.201,4.902,15.7,15.7,15.7,1.46,1.42,1.5,2.855,2.77,2.94,4.56,4.42,4.7,75.0,75.0,75.0,2022-11-01
52.201,4.903,15.833333,15.7,15.9,1.7966666,1.56,2.12,3.5033333,3.03,4.15,5.5933332,4.84,6.63,75.0,75.0,75.0,2022-11-01
52.202,4.903,15.833333,15.7,16.0,1.9071428,1.6,2.28,3.6647615,3.05,4.45,5.8080955,4.81,7.13,75.0,75.0,75.0,2022-11-01
52.201,4.903,14.547059,14.3,15.5,4.695883,4.09,7.45,5.0647054,4.34,8.7,5.2070584,4.35,9.78,73.0,73.0,73.0,2022-11-03
52.202,4.903,14.76,14.4,16.0,4.766,4.37,5.26,5.086,4.66,5.56,5.152,4.72,5.56,73.4,73.0,75.0,2022-11-03
52.202,4.785,12.502861,12.318608,12.871366,3.8095026,1.8018303,7.5296273,4.1971684,2.1445363,7.9622984,4.4032893,2.4366488,7.9622984,73.329765,68.36499,76.27222,2022-11-04
52.202,4.786,12.373795,12.318608,12.457465,1.0899042,0.7921188,1.3635193,1.3059726,0.95096666,1.63061,1.493378,1.0893848,1.8611292,74.30278,73.94063,74.69595,2022-11-04
52.203,4.787,12.607671,12.302586,12.954146,4.075703,0.81212884,7.258619,4.380413,0.975179,7.68287,4.4665313,1.1173252,7.6916037,71.00175,68.09033,73.85518,2022-11-04
52.203,4.788,12.487729,12.33196,12.756542,2.7790494,0.9625547,6.32663,3.033873,1.1547549,6.6902437,3.150065,1.3219465,6.6903305,72.26875,68.80444,74.12375,2022-11-04
52.203,4.789,12.520663,12.345311,12.772564,2.6529675,0.7401171,6.3313165,2.8823895,0.8877878,6.6951294,2.9764059,1.0162047,6.6951294,72.28097,69.15236,74.01846,2022-11-04
52.203,4.79,12.629435,12.444113,12.74319,4.516891,0.6785458,7.266583,4.8199034,0.8147571,7.684139,4.872984,0.93349856,7.684139,70.719444,68.65033,73.84602,2022-11-04
52.203,4.791,12.486839,12.486839,12.486839,1.013239,1.013239,1.013239,1.2240928,1.2240928,1.2240928,1.4105102,1.4105102,1.4105102,73.571365,73.571365,73.571365,2022-11-04
52.204,4.791,12.607672,12.430762,12.799267,3.9641182,1.2578562,6.713791,4.292943,1.5236945,7.099582,4.416345,1.7600999,7.099582,71.06507,68.696106,73.70412,2022-11-04
52.204,4.792,12.5956545,12.50019,12.684443,4.2986655,1.4258407,7.2081656,4.6655135,1.7382591,7.6223645,4.8118763,2.019766,7.6223645,71.56862,69.275955,73.61104,2022-11-04
52.204,4.793,12.594185,12.50019,12.711146,3.5653849,0.7417054,7.8636627,3.858397,0.90517163,8.315529,3.9660423,1.0527688,8.315529,71.97801,69.96718,73.68886,2022-11-04
52.204,4.794,12.551461,12.444113,12.684443,3.5069077,0.7466025,7.623003,3.7809694,0.9068384,8.06104,3.869575,1.0501461,8.06104,72.06287,70.40817,73.1075,2022-11-04
